sample	name
SRR5909930	CM7 Adult leaf (night)
SRR5909881	CML10 Root
SRR5909884	CML10 Shoot
SRR5909883	CML10 Adult leaf (day)
SRR5909936	CML10 Adult leaf (night)
SRR5911415	CML103 Root
SRR5911414	CML103 Shoot
SRR5911410	CML103 Kernel
SRR5911413	CML103 Leaf 3 Base
SRR5911412	CML103 Leaf 3 Tip
SRR5911327	CML103 Adult leaf (day)
SRR5911326	CML103 Adult leaf (night)
SRR5909885	CML108 Root
SRR5909878	CML108 Shoot
SRR5909886	CML108 Leaf 3 Base
SRR5909880	CML108 Leaf 3 Base
SRR5910038	CML108 Leaf 3 Tip
SRR5909882	CML108 Adult leaf (day)
SRR5909877	CML108 Adult leaf (night)
SRR5909879	CML108 Leaf 3 middle
SRR5910040	CML11 Shoot
SRR5910036	CML11 Kernel
SRR5910033	CML11 Leaf 3 Base
SRR5910034	CML11 Leaf 3 Tip
SRR5910037	CML11 Adult leaf (day)
SRR5910039	CML11 Adult leaf (night)
SRR5911408	CML133 Root
SRR5911411	CML133 Shoot
SRR5910042	CML14 Root
SRR5910035	CML14 Shoot
SRR5911826	CML14 Leaf 3 Base
SRR5910041	CML14 Leaf 3 Tip
SRR5911830	CML154Q Root
SRR5911825	CML154Q Shoot
SRR5911829	CML154Q Kernel
SRR5911828	CML154Q Leaf 3 Base
SRR5911831	CML154Q Leaf 3 Tip
SRR5911827	CML154Q Adult leaf (day)
SRR5911824	CML154Q Adult leaf (night)
SRR5911837	CML157Q Root
SRR5911836	CML157Q Shoot
SRR5911840	CML157Q Kernel
SRR5911834	CML157Q Leaf 3 Base
SRR5911835	CML157Q Leaf 3 Tip
SRR5911832	CML157Q Adult leaf (day)
SRR5911833	CML157Q Adult leaf (night)
SRR5911842	CML158Q Root
SRR5911839	CML158Q Shoot
SRR5911843	CML158Q Leaf 3 Base
SRR5911910	CML158Q Leaf 3 Tip
SRR5911841	CML158Q Adult leaf (day)
SRR5911838	CML158Q Adult leaf (night)
SRR5911406	CML192 Root
SRR5911409	CML192 Shoot
SRR5911545	CML202 Root
SRR5911407	CML202 Shoot
SRR5911541	CML206 Root
SRR5911546	CML206 Shoot
SRR5911540	CML206 Leaf 3 Base
SRR5911543	CML206 Leaf 3 Tip
SRR5911544	CML206 Adult leaf (day)
SRR5911547	CML206 Adult leaf (night)
SRR5911914	CML218 Root
SRR5911907	CML218 Shoot
SRR5911911	CML218 Kernel
SRR5911913	CML218 Leaf 3 Base
SRR5911912	CML218 Leaf 3 Tip
SRR5911909	CML218 Adult leaf (day)
SRR5911908	CML218 Adult leaf (night)
SRR5912047	CML220 Root
SRR5912046	CML220 Shoot
SRR5912042	CML220 Kernel
SRR5912048	CML220 Leaf 3 Base
SRR5912049	CML220 Leaf 3 Tip
SRR5911906	CML220 Adult leaf (day)
SRR5911905	CML220 Adult leaf (night)
SRR5912050	CML228 Root
SRR5912045	CML228 Shoot
SRR5911627	CML228 Kernel
SRR5911626	CML228 Kernel
SRR5912051	CML228 Leaf 3 Base
SRR5911625	CML228 L3Mid
SRR5911624	CML228 Leaf 3 Tip
SRR5912043	CML228 Adult leaf (day)
SRR5912044	CML228 Adult leaf (night)
SRR5911620	CML238 Shoot
SRR5911622	CML238 Leaf 3 Base
SRR5912119	CML238 Leaf 3 Tip
SRR5911621	CML238 Adult leaf (day)
SRR5911623	CML238 Adult leaf (night)
SRR5911762	CML247 Root
SRR5912118	CML247 Shoot
SRR5911763	CML247 Leaf 3 Base
SRR5911760	CML247 Leaf 3 Tip
SRR5911758	CML254 Root
SRR5911761	CML254 Shoot
SRR5911756	CML254 Leaf 3 Base
SRR5911759	CML254 Leaf 3 Tip
SRR5911754	CML258 Root
SRR5911757	CML258 Shoot
SRR5911755	CML258 Leaf 3 Base
SRR5911821	CML258 Leaf 3 Tip
SRR5911817	CML261 Root
SRR5911818	CML261 Shoot
SRR5911816	CML261 Leaf 3 Base
SRR5911815	CML261 Leaf 3 Tip
SRR5911820	CML261 Adult leaf (day)
SRR5911819	CML261 Adult leaf (night)
SRR5911823	CML264 Root
SRR5911814	CML264 Shoot
SRR5911958	CML277 Root
SRR5911957	CML277 Shoot
SRR5911959	CML277 Leaf 3 Base
SRR5911960	CML277 L3Mid
SRR5911961	CML277 Leaf 3 Tip
SRR5911822	CML277 Adult leaf (day)
SRR5911956	CML277 Adult leaf (night)
SRR5911962	CML281 Shoot
SRR5911964	CML281 Leaf 3 Base
SRR5911963	CML281 Leaf 3 Tip
SRR5911965	CML287 Shoot
SRR5912025	CML311 Shoot
SRR5912024	CML311 Leaf 3 Base
SRR5912027	CML311 L3Mid
SRR5912026	CML311 Leaf 3 Tip
SRR5912030	CML314 Root
SRR5912031	CML314 Shoot
SRR5911668	CML314 Kernel
SRR5912022	CML314 Leaf 3 Base
SRR5912023	CML314 Leaf 3 Tip
SRR5912029	CML314 Adult leaf (day)
SRR5912028	CML314 Adult leaf (night)
SRR5911666	CML321 Root
SRR5911669	CML321 Shoot
SRR5911667	CML321 Leaf 3 Base
SRR5911672	CML321 L3Mid
SRR5911673	CML321 Leaf 3 Tip
SRR5911671	CML322 Shoot
SRR5912062	CML322 Kernel
SRR5911665	CML322 Leaf 3 Base
SRR5912063	CML322 Leaf 3 Tip
SRR5911670	CML322 Adult leaf (day)
SRR5911664	CML322 Adult leaf (night)
SRR5912068	CML323 Root
SRR5912069	CML323 Shoot
SRR5911927	CML323 Kernel
SRR5912071	CML323 Leaf 3 Base
SRR5912067	CML323 Leaf 3 Base
SRR5912070	CML323 Leaf 3 Tip
SRR5912065	CML323 Adult leaf (day)
SRR5912066	CML323 Adult leaf (night)
SRR5912064	CML323 Leaf 3 middle
SRR5911926	CML328 Root
SRR5911925	CML328 Shoot
SRR5911931	CML328 Leaf 3 Base
SRR5911932	CML328 Leaf 3 Tip
SRR5911928	CML328 Adult leaf (night)
SRR5911536	CML330 Root
SRR5911153	CML330 Kernel
SRR5911611	CML330 Leaf 3 Base
SRR5911612	CML330 L3Mid
SRR5911492	CML330 Leaf 3 Tip
SRR5911542	CML330 Adult leaf (day)
SRR5911537	CML330 Adult leaf (night)
SRR5911934	CML331 Root
SRR5911933	CML331 Shoot
SRR5911780	CML331 Leaf 3 Base
SRR5911781	CML331 Leaf 3 Tip
SRR5911929	CML331 Adult leaf (day)
SRR5911930	CML331 Adult leaf (night)
SRR5911778	CML332 Root
SRR5911779	CML332 Shoot
SRR5911777	CML332 Leaf 3 Base
SRR5911776	CML332 L3Mid
SRR5911775	CML332 Leaf 3 Tip
SRR5911640	CML333 Root
SRR5911782	CML333 Shoot
SRR5911643	CML333 Kernel
SRR5911641	CML333 Leaf 3 Base
SRR5911642	CML333 Leaf 3 Tip
SRR5911774	CML333 Adult leaf (day)
SRR5911783	CML333 Adult leaf (night)
SRR5911647	CML341 Root
SRR5911645	CML341 Shoot
SRR5911639	CML341 Leaf 3 Base
SRR5911638	CML341 Leaf 3 Tip
SRR5911644	CML341 Adult leaf (day)
SRR5911646	CML341 Adult leaf (night)
SRR5912007	CML38 Root
SRR5912008	CML38 Shoot
SRR5912004	CML38 Kernel
SRR5912001	CML38 Leaf 3 Base
SRR5912002	CML38 Leaf 3 Tip
SRR5912006	CML38 Adult leaf (day)
SRR5912005	CML38 Adult leaf (night)
SRR5911610	CML411 Root
SRR5911609	CML411 Shoot
SRR5911285	CML411 Kernel
SRR5911154	CML411 Leaf 3 Base
SRR5911155	CML411 Leaf 3 Tip
SRR5911607	CML411 Adult leaf (day)
SRR5911608	CML411 Adult leaf (night)
SRR5911282	CML418 Root
SRR5911283	CML418 Shoot
SRR5911287	CML418 Kernel
SRR5911288	CML418 Leaf 3 Base
SRR5911289	CML418 Leaf 3 Tip
SRR5911284	CML418 Adult leaf (night)
SRR5912000	CML45 Root
SRR5912003	CML45 Shoot
SRR5911999	CML45 Leaf 3 Base
SRR5911883	CML45 L3Mid
SRR5911884	CML45 Leaf 3 Tip
SRR5911286	CML479 Shoot
SRR5911881	CML5 Shoot
SRR5911879	CML5 Leaf 3 Base
SRR5911882	CML5 Leaf 3 Tip
SRR5911341	CML504 Root
SRR5911340	CML504 Shoot
SRR5911339	CML504 Leaf 3 Base
SRR5911338	CML504 Leaf 3 Tip
SRR5911291	CML504 Adult leaf (day)
SRR5911290	CML504 Adult leaf (night)
SRR5911332	CML505 Kernel
SRR5911343	CML505 Leaf 3 Base
SRR5911342	CML505 Leaf 3 Tip
SRR5911344	CML505 Adult leaf (day)
SRR5911345	CML505 Adult leaf (night)
SRR5911471	CML511 Root
SRR5911468	CML511 Shoot
SRR5911473	CML511 Leaf 3 Base
SRR5911470	CML511 Leaf 3 Tip
SRR5911333	CML511 Adult leaf (day)
SRR5911469	CML511 Adult leaf (night)
SRR5911880	CML52 Shoot
SRR5911877	CML61 Shoot
SRR5911875	CML61 Leaf 3 Base
SRR5911878	CML61 Leaf 3 Tip
SRR5911719	CML69 Root
SRR5911720	CML69 Shoot
SRR5911722	CML69 Kernel
SRR5911717	CML69 Leaf 3 Base
SRR5911724	CML69 L3Mid
SRR5911723	CML69 Leaf 3 Tip
SRR5911876	CML69 Adult leaf (day)
SRR5911718	CML69 Adult leaf (night)
SRR5912086	CML77 Root
SRR5911725	CML77 Shoot
SRR5912089	CML77 Kernel
SRR5912088	CML77 Leaf 3 Base
SRR5912087	CML77 Leaf 3 Tip
SRR5911726	CML77 Adult leaf (day)
